"param","df","LRstat","pVal"
"M_tau1",16,0.989089514564896,1
"h_tau1",16,0.955982495695122,1
"K_tau1",16,0.989089514595212,1
"M_tau2",16,2.22041429309413,6.61963593902878e-22
"h_tau2",16,0.955982495354829,1
"K_tau2",16,2.22041429309417,6.61963593901984e-22
"M_Asus",16,0.956038915314293,1
"h_Asus",16,0.977835007528481,1
"K_Asus",16,0.955982495314491,1
"M_Atrans",16,2.22041429309445,6.6196359389474e-22
"h_Atrans",16,0.989089514600959,1
"K_Atrans",16,0.999999997867371,1
"M_Tshift",16,1.00000000095042,0.999785812472337
"h_Tshift",16,0.95567974458259,1
"K_Tshift",16,1.00000000089069,0.999792652375158
"p_0",16,0.976852801168273,1
